campaign_id,campaign_name,channel_code,product_code,start_date,end_date,budget,status,is_test_data
CAMP0001,百度 SEM-1期,BAIDU_SEM,GUARANTEE_LOAN,2025-01-31,2025-04-15,204569.07,RUNNING,1
CAMP0002,百度 SEM-2期,BAIDU_SEM,GUARANTEE_LOAN,2025-01-17,2025-04-26,444768.74,RUNNING,1
CAMP0003,百度 SEM-3期,BAIDU_SEM,GUARANTEE_LOAN,2025-01-23,2025-05-11,195727.28,RUNNING,1
CAMP0004,百度 SEM-4期,BAIDU_SEM,PLATFORM_LOAN,2025-01-01,2025-02-03,322595.04,RUNNING,1
CAMP0005,百度 SEM-5期,BAIDU_SEM,PLATFORM_LOAN,2025-01-17,2025-05-08,243072.02,RUNNING,1
CAMP0006,腾讯广告-1期,TENCENT_AD,SELF_LOAN,2025-01-02,2025-02-16,241780.21,RUNNING,1
CAMP0007,腾讯广告-2期,TENCENT_AD,JOINT_LOAN,2025-01-16,2025-03-05,202228.67,RUNNING,1
CAMP0008,腾讯广告-3期,TENCENT_AD,GUARANTEE_LOAN,2025-01-12,2025-02-19,441958.54,RUNNING,1
CAMP0009,腾讯广告-4期,TENCENT_AD,GUARANTEE_LOAN,2025-01-05,2025-02-05,52535.95,RUNNING,1
CAMP0010,腾讯广告-5期,TENCENT_AD,SELF_LOAN,2025-01-16,2025-03-07,412210.63,RUNNING,1
CAMP0011,抖音/头条广告-1期,BYTEDANCE_AD,JOINT_LOAN,2025-01-13,2025-04-22,55208.80,RUNNING,1
CAMP0012,抖音/头条广告-2期,BYTEDANCE_AD,GUARANTEE_LOAN,2025-01-28,2025-05-04,417723.25,RUNNING,1
CAMP0013,抖音/头条广告-3期,BYTEDANCE_AD,SELF_LOAN,2025-01-23,2025-02-23,75289.09,RUNNING,1
CAMP0014,抖音/头条广告-4期,BYTEDANCE_AD,PLATFORM_LOAN,2025-01-19,2025-05-18,375611.31,RUNNING,1
CAMP0015,抖音/头条广告-5期,BYTEDANCE_AD,GUARANTEE_LOAN,2025-01-17,2025-04-01,361796.30,RUNNING,1
CAMP0016,快手广告-1期,KUAISHOU_AD,SELF_LOAN,2025-01-02,2025-03-06,372571.92,RUNNING,1
CAMP0017,快手广告-2期,KUAISHOU_AD,JOINT_LOAN,2025-01-13,2025-05-02,237189.39,RUNNING,1
CAMP0018,快手广告-3期,KUAISHOU_AD,PLATFORM_LOAN,2025-01-01,2025-04-14,195222.21,RUNNING,1
CAMP0019,快手广告-4期,KUAISHOU_AD,SELF_LOAN,2025-01-08,2025-03-10,98019.34,RUNNING,1
CAMP0020,快手广告-5期,KUAISHOU_AD,SELF_LOAN,2025-01-04,2025-02-05,236903.39,RUNNING,1
CAMP0021,合作银行 A-1期,PARTNER_BANK1,SELF_LOAN,2025-01-05,2025-02-05,335052.06,RUNNING,1
CAMP0022,合作银行 A-2期,PARTNER_BANK1,PLATFORM_LOAN,2025-01-07,2025-03-17,349519.41,RUNNING,1
CAMP0023,合作银行 A-3期,PARTNER_BANK1,PLATFORM_LOAN,2025-01-17,2025-04-08,360755.86,RUNNING,1
CAMP0024,合作银行 A-4期,PARTNER_BANK1,JOINT_LOAN,2025-01-03,2025-04-30,100459.58,RUNNING,1
CAMP0025,合作银行 A-5期,PARTNER_BANK1,SELF_LOAN,2025-01-17,2025-03-18,442641.32,RUNNING,1
CAMP0026,电商合作方-1期,PARTNER_MALL,SELF_LOAN,2025-01-29,2025-03-10,131719.20,RUNNING,1
CAMP0027,电商合作方-2期,PARTNER_MALL,PLATFORM_LOAN,2025-01-07,2025-04-17,444694.89,RUNNING,1
CAMP0028,电商合作方-3期,PARTNER_MALL,SELF_LOAN,2025-01-29,2025-03-31,414660.52,RUNNING,1
CAMP0029,电商合作方-4期,PARTNER_MALL,SELF_LOAN,2025-01-29,2025-03-23,411770.85,RUNNING,1
CAMP0030,电商合作方-5期,PARTNER_MALL,SELF_LOAN,2025-01-13,2025-03-20,477366.28,RUNNING,1
CAMP0031,H5 落地页-1期,H5_PROMO,PLATFORM_LOAN,2025-01-13,2025-04-22,112630.01,RUNNING,1
CAMP0032,H5 落地页-2期,H5_PROMO,GUARANTEE_LOAN,2025-01-13,2025-03-30,367289.00,RUNNING,1
CAMP0033,H5 落地页-3期,H5_PROMO,SELF_LOAN,2025-01-20,2025-05-02,219861.98,RUNNING,1
CAMP0034,H5 落地页-4期,H5_PROMO,PLATFORM_LOAN,2025-01-19,2025-04-12,97575.41,RUNNING,1
CAMP0035,H5 落地页-5期,H5_PROMO,PLATFORM_LOAN,2025-01-20,2025-05-09,242587.23,RUNNING,1
CAMP0036,微信小程序-1期,WECHAT_MP,GUARANTEE_LOAN,2025-01-25,2025-05-05,468995.27,RUNNING,1
CAMP0037,微信小程序-2期,WECHAT_MP,GUARANTEE_LOAN,2025-01-05,2025-04-05,494085.31,RUNNING,1
CAMP0038,微信小程序-3期,WECHAT_MP,SELF_LOAN,2025-01-23,2025-05-06,483284.01,RUNNING,1
CAMP0039,微信小程序-4期,WECHAT_MP,GUARANTEE_LOAN,2025-01-18,2025-03-07,462209.86,RUNNING,1
CAMP0040,微信小程序-5期,WECHAT_MP,GUARANTEE_LOAN,2025-01-12,2025-03-23,398544.33,RUNNING,1
